cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,regret,drug1_name,drug2_name,drug1_moa,drug2_moa,burden_initial,burden_final,burden_ratio_final,nadir_burden,time_to_nadir,depth_of_response,kg_regrowth,time_to_regrowth,log_kill,log_kill_nadir,burden_auc_ratio,log_kill_auc,growth_delay,kg_biexp,ks_biexp,ttg_biexp,biexp_r2,ets_early,t_early,hypoxic_fraction,necrotic_fraction,viable_rim_thickness,auc_surface_drug1,auc_core_drug1,core_to_surface_ratio_drug1,penetration_depth_drug1,auc_surface_drug2,auc_core_drug2,core_to_surface_ratio_drug2,penetration_depth_drug2,kill_fraction_core,kill_fraction_rim,core_sparing,residual_core_burden,solver_success,n_drugs_simulated,sim_ok,sim_message,wall_s,sweep
HCT-15,random,2,686673,747973,1.9999999949504854e-06,3.000000106112566e-07,7.989999771118164,,NSC686673,vorinostat,other,hdac_inhibitor,,,241279087.64641,244400648.7307084,1.0129375534147946,0.7843554976536274,4.4,0.2156445023463725,0.008834647317072,5.4,-0.0001660126028055,0.1167597562769887,0.9437169305337442,0.0251582535225901,,0.0233826818493099,0.0383717635036521,8.020899619483753,0.0465819124661411,0.1486326454487668,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0307498045165011,0.0177301372933819,0.576593496191741,400.0,2.3786622021631074,1.4613216561721576,0.6143460197262399,400.0,-0.0120022107739719,7.540924642712721e-05,0.012077620020399,0.1420948251124148,1.0,"2,True,The solver successfully reached the end of the integration interval.",6.388,default
HCT-15,ours+zero,2,26980,681239,4.999999987376214e-07,3.000000106112566e-07,-85.52999877929688,,mitomycin,bortezomib,alkylator,proteasome,,,241279087.64641,241302578.08093017,1.0000973579382666,0.0306055377908931,4.800000000000001,0.9693944622091069,0.2260943714229124,16.2,0.0053743798058367,1.5252562223060182,0.4639754125575494,0.3335050333966493,,0.0348004328488581,1.168749895303123,2.9197450941081695,0.8831411911029636,0.96786706557642,5.25,0.1968849621189929,0.0550853987870166,168.55345911949686,0.0095000025785706,0.0062475153720312,0.6576330185555834,400.0,2.756535066484806,1.7094964219197049,0.6201613187165771,400.0,-0.241250745020225,0.0123410167388844,0.2535917617591094,0.1361576926723119,1.0,"2,True,The solver successfully reached the end of the integration interval.",8.981,default
HS 578T,linear_curve,2,1390,681239,9.999999974752427e-07,3.000000106112566e-07,-95.26000213623048,,NSC1390,bortezomib,other,proteasome,,,241279087.64641,244549919.5297312,1.0135562178853832,0.2604547532952021,4.6000000000000005,0.7395452467047978,0.063776980062805,10.2,-0.0004311825015522,0.5954383209774616,0.7540582711397213,0.1225950919861999,,0.0415199431967893,0.346219251717457,5.4699096890611765,0.4615212331126086,0.6978031358075387,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0464754610858523,0.028263504490604,0.6081382267169748,400.0,2.6960701894000954,1.5278733958625752,0.5667038647100443,400.0,-0.0793000548329383,0.0010037138025327,0.080303768635471,0.1436105905739994,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.2,default
HS 578T,ours+zero,2,1390,747973,9.999999747378752e-06,3.000000106112566e-07,-74.66000366210938,,NSC1390,vorinostat,other,hdac_inhibitor,,,241279087.64641,230147378.594517,0.9538637634928132,0.0095997698157661,4.4,0.9904002301842338,0.2834582719767919,,0.025930309155822,2.0290118815934735,0.3592512090996375,0.4446017615252134,,0.0302235659358514,1.994711062211405,2.0690211330982273,0.8436327583724135,0.9863214758378648,5.25,0.1666518025896331,0.0,181.13207547169813,0.4647546002912271,0.3018707905187482,0.64952727811535,400.0,20.643580204271405,13.628775623205993,0.6601943794800689,400.0,0.4077760140018166,0.0244752923150168,-0.3833007216867997,0.0812862681968166,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.151,default
HS 578T,random,2,1390,747973,9.999999747378752e-06,3.000000106112566e-07,-74.66000366210938,,NSC1390,vorinostat,other,hdac_inhibitor,,,241279087.64641,230147378.594517,0.9538637634928132,0.0095997698157661,4.4,0.9904002301842338,0.2834582719767919,,0.025930309155822,2.0290118815934735,0.3592512090996375,0.4446017615252134,,0.0302235659358514,1.994711062211405,2.0690211330982273,0.8436327583724135,0.9863214758378648,5.25,0.1666518025896331,0.0,181.13207547169813,0.4647546002912271,0.3018707905187482,0.64952727811535,400.0,20.643580204271405,13.628775623205993,0.6601943794800689,400.0,0.4077760140018166,0.0244752923150168,-0.3833007216867997,0.0812862681968166,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.137,default
HT29,act_hamming+zero,3,92859,673596,6.000000212225132e-06,9.999999717180683e-10,1.919999957084656,,dromostanolone,NSC673596,hormonal,other,,,241279087.64641,244537268.0415614,1.0135037828057696,0.4127542925600728,4.800000000000001,0.5872457074399272,0.04427284744737,9.4,-0.0004087142315142,0.3953646389624978,0.8050968713882791,0.0941518610256062,,0.0390860038106018,0.1649372297672378,7.0570420168217085,0.3160364610392948,0.5703461851456757,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,35.89050091294007,23.75271205981209,0.6618105475158809,400.0,0.0534579804274952,0.0321679558239957,0.6017428186914939,400.0,-0.0673963750148525,0.0007324423942554,0.0681288174091079,0.1433110850371961,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.706,default
HT29,hamming+zero,3,92859,673596,6.000000212225132e-06,9.999999717180683e-10,1.919999957084656,,dromostanolone,NSC673596,hormonal,other,,,241279087.64641,244537268.0415614,1.0135037828057696,0.4127542925600728,4.800000000000001,0.5872457074399272,0.04427284744737,9.4,-0.0004087142315142,0.3953646389624978,0.8050968713882791,0.0941518610256062,,0.0390860038106018,0.1649372297672378,7.0570420168217085,0.3160364610392948,0.5703461851456757,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,35.89050091294007,23.75271205981209,0.6618105475158809,400.0,0.0534579804274952,0.0321679558239957,0.6017428186914939,400.0,-0.0673963750148525,0.0007324423942554,0.0681288174091079,0.1433110850371961,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.693,default
HS 578T,tanimoto+zero,2,1390,747973,9.999999747378752e-06,3.000000106112566e-07,-74.66000366210938,,NSC1390,vorinostat,other,hdac_inhibitor,,,241279087.64641,230147378.594517,0.9538637634928132,0.0095997698157661,4.4,0.9904002301842338,0.2834582719767919,,0.025930309155822,2.0290118815934735,0.3592512090996375,0.4446017615252134,,0.0302235659358514,1.994711062211405,2.0690211330982273,0.8436327583724135,0.9863214758378648,5.25,0.1666518025896331,0.0,181.13207547169813,0.4647546002912271,0.3018707905187482,0.64952727811535,400.0,20.643580204271405,13.628775623205993,0.6601943794800689,400.0,0.4077760140018166,0.0244752923150168,-0.3833007216867997,0.0812862681968166,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.119,default
HT29,tanimoto+zero,3,92859,673596,6.000000212225132e-06,9.999999717180683e-10,1.919999957084656,,dromostanolone,NSC673596,hormonal,other,,,241279087.64641,244537268.0415614,1.0135037828057696,0.4127542925600728,4.800000000000001,0.5872457074399272,0.04427284744737,9.4,-0.0004087142315142,0.3953646389624978,0.8050968713882791,0.0941518610256062,,0.0390860038106018,0.1649372297672378,7.0570420168217085,0.3160364610392948,0.5703461851456757,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,35.89050091294007,23.75271205981209,0.6618105475158809,400.0,0.0534579804274952,0.0321679558239957,0.6017428186914939,400.0,-0.0673963750148525,0.0007324423942554,0.0681288174091079,0.1433110850371961,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.847,default
HT29,ours+zero,3,409962,754143,1.9999999949504854e-06,9.99999993922529e-09,-72.94999694824219,,carmustine,bendamustine,alkylator,alkylator,,,241279087.64641,238510466.54976916,0.9885252338955368,0.0177964545419058,4.4,0.9822035454580942,0.2385615209494752,,0.0104288998192969,1.7609392116037283,0.4333700161336045,0.3631411398048171,,0.0339169654451813,1.7673239575260589,2.1947682832879805,0.885875029298561,0.9738270922076144,5.25,0.190568164729299,0.0425249427297684,171.0691823899371,0.0637659195481261,0.0422060408414136,0.6618902564332882,400.0,13.68780180499778,9.118117257958865,0.6661491295577933,400.0,-0.0509779003057921,0.013314755449987,0.0642926557557792,0.1212295556653902,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.101,default
HT29,linear_curve,3,681239,686673,3.000000106112566e-07,2.0000000233721948e-07,-61.86000061035156,,bortezomib,NSC686673,proteasome,other,,,241279087.64641,209832715.919489,0.8696680593678094,0.0034282689865393,5.0,0.9965717310134607,0.3834955954407847,,0.0660631398954384,2.4758568369716425,0.2375716623058986,0.6242053635146507,,0.0220158930962964,1.6880611778355112,2.5376466271878417,0.6956248432541787,0.9965052700811076,5.25,0.0699034531552081,0.0,236.4779874213837,19.3674899915252,12.554825469787916,0.648242259336736,400.0,0.0031882667853898,0.0020562391329856,0.6449394832353159,400.0,0.4259199077387466,0.0850523187703264,-0.3408675889684202,0.0159953146492053,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.643,default
HT29,random,3,409962,754143,1.9999999949504854e-06,9.99999993922529e-09,-72.94999694824219,,carmustine,bendamustine,alkylator,alkylator,,,241279087.64641,238510466.54976916,0.9885252338955368,0.0177964545419058,4.4,0.9822035454580942,0.2385615209494752,,0.0104288998192969,1.7609392116037283,0.4333700161336045,0.3631411398048171,,0.0339169654451813,1.7673239575260589,2.1947682832879805,0.885875029298561,0.9738270922076144,5.25,0.190568164729299,0.0425249427297684,171.0691823899371,0.0637659195481261,0.0422060408414136,0.6618902564332882,400.0,13.68780180499778,9.118117257958865,0.6661491295577933,400.0,-0.0509779003057921,0.013314755449987,0.0642926557557792,0.1212295556653902,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.195,default
KM12,linear_curve,5,673596,754143,1.000000013351432e-10,9.99999993922529e-09,-83.88999938964844,,NSC673596,bendamustine,other,alkylator,,,241279087.64641,243349888.37358183,1.008582595148928,0.0457136917614264,4.4,0.9542863082385736,0.1755982269565569,14.800000000000002,0.0017051903837519,1.3512264055987642,0.5442555554232026,0.2641971292554894,,0.0379524236619422,1.2440400325992451,2.722158051610387,0.8981923170149471,0.9387504294101432,5.25,0.1968849621189929,0.0578624312878497,168.55345911949686,0.0002781882476896,0.0001779304201249,0.639604374385716,400.0,6.952046883678343,4.616953217425864,0.6641142234332895,400.0,-0.1678478681778206,0.0054876322122763,0.1733355003900969,0.137256578874776,1.0,"2,True,The solver successfully reached the end of the integration interval.",2.577,default
KM12,ours+zero,5,702294,754143,9.999999747378752e-05,9.99999993922529e-09,-69.5,,NSC702294,bendamustine,other,alkylator,,,241279087.64641,239035757.6797656,0.9907023439597386,0.0138827591618249,4.6000000000000005,0.9861172408381752,0.2719951111061773,,0.0094734692469884,1.8686948191040305,0.40365895844568,0.3939854047305389,,0.0326384431970703,1.633901044314147,2.348120107399661,0.8488835304913795,0.9828719875222662,5.25,0.190568164729299,0.0498007529556812,171.0691823899371,0.019,0.0122520555325684,0.6448450280299198,400.0,6.952046883678343,4.622567917831941,0.6649218561348554,400.0,-0.2458156221486984,0.0188193580167858,0.2646349801654842,0.1277682303324864,1.0,"2,True,The solver successfully reached the end of the integration interval.",2.539,default
KM12,act_hamming+zero,5,26271,747973,9.999999747378752e-06,3.000000106112566e-07,0.8999999761581421,,cyclophosphamide,vorinostat,alkylator,hdac_inhibitor,,,241279087.64641,230532745.82838517,0.9554609480545888,0.0099273780333062,4.4,0.9900726219666938,0.280953406335807,,0.0252037186504337,2.014438141128057,0.3626197891740381,0.4405484989317025,,0.0303975867586029,1.9787166330294763,2.078448544613902,0.8464355494337491,0.98582759725722,5.25,0.1666518025896331,0.0,181.13207547169813,17.97405850448311,11.979665730214178,0.666497537394028,400.0,20.111380442073887,13.276203105904337,0.6601338552638555,400.0,0.3930980161240694,0.0237860824998893,-0.3693119336241801,0.0819917722609647,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.588,default
KM12,hamming+zero,5,26271,747973,9.999999747378752e-06,3.000000106112566e-07,0.8999999761581421,,cyclophosphamide,vorinostat,alkylator,hdac_inhibitor,,,241279087.64641,230532745.82838517,0.9554609480545888,0.0099273780333062,4.4,0.9900726219666938,0.280953406335807,,0.0252037186504337,2.014438141128057,0.3626197891740381,0.4405484989317025,,0.0303975867586029,1.9787166330294763,2.078448544613902,0.8464355494337491,0.98582759725722,5.25,0.1666518025896331,0.0,181.13207547169813,17.97405850448311,11.979665730214178,0.666497537394028,400.0,20.111380442073887,13.276203105904337,0.6601338552638555,400.0,0.3930980161240694,0.0237860824998893,-0.3693119336241801,0.0819917722609647,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.601,default
KM12,random,5,762,713563,1.9999999949504854e-06,9.999999747378752e-05,0.1879999935626983,,mechlorethamine,arsenic trioxide,alkylator,other,,,241279087.64641,244556973.1172032,1.0135854520288838,0.4760557235737507,4.4,0.5239442764262493,0.0313141550062571,8.200000000000001,-0.0004437087372809,0.3336149101951053,0.8487104868562203,0.0712404315506339,,0.0358508999851374,0.1061545279142159,7.644265350901203,0.135961331169675,0.4347470264115752,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.087332094363511,0.0558846532870185,0.6399096883489858,400.0,2.4168985384296877,1.467983566255415,0.6073831991347044,400.0,-0.0381698282777567,0.0003553512138545,0.0385251794916112,0.1429356978933593,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.866,default
KM12,tanimoto+zero,5,26271,747973,9.999999747378752e-06,3.000000106112566e-07,0.8999999761581421,,cyclophosphamide,vorinostat,alkylator,hdac_inhibitor,,,241279087.64641,230532745.82838517,0.9554609480545888,0.0099273780333062,4.4,0.9900726219666938,0.280953406335807,,0.0252037186504337,2.014438141128057,0.3626197891740381,0.4405484989317025,,0.0303975867586029,1.9787166330294763,2.078448544613902,0.8464355494337491,0.98582759725722,5.25,0.1666518025896331,0.0,181.13207547169813,17.97405850448311,11.979665730214178,0.666497537394028,400.0,20.111380442073887,13.276203105904337,0.6601338552638555,400.0,0.3930980161240694,0.0237860824998893,-0.3693119336241801,0.0819917722609647,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.377,default
M14,act_hamming+zero,4,25154,119875,3.000000106112566e-07,1.9999999494757503e-05,26.59000015258789,,NSC25154,cisplatin,other,platinum,,,241279087.64641,244404607.19225064,1.0129539595674408,0.6859770494803926,4.4,0.3140229505196074,0.0140145979017356,6.6,-0.0001730466433925,0.1749631153065251,0.9171439677280916,0.037562486050508,,0.0279753359890435,0.0543589403055588,8.068156550582879,0.0453284579896454,0.2268835855128447,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0005794359032895,0.0003399361866818,0.5866674549367542,400.0,4.054053261967809,2.652508293451902,0.6542855068866049,400.0,-0.0198735340899924,0.0001527646435744,0.0200262987335669,0.1422061314494333,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.593,default
M14,linear_curve,4,609699,681239,1.0000000116860974e-07,3.000000106112566e-07,-96.5999984741211,,topotecan,bortezomib,topo1,proteasome,,,241279087.64641,229059280.02053827,0.9493540540745924,0.0048341896710889,4.800000000000001,0.995165810328911,0.3566349235252821,,0.0279884504392233,2.3267325513956503,0.2991519665237979,0.524108137907588,,0.0266149487332448,1.6128396585848432,2.5034414547150052,0.741591588986084,0.994679142713224,5.25,0.1666518025896331,0.0283778241901845,181.13207547169813,3.591378767115229,2.3000428067083383,0.6404344837611894,400.0,3.4357492135598684,2.1701499278884904,0.6316380483545079,400.0,-0.3120820905895523,0.0513185258941129,0.3634006164836652,0.1001671016498064,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.598,default
M14,hamming+zero,4,25154,119875,3.000000106112566e-07,1.9999999494757503e-05,26.59000015258789,,NSC25154,cisplatin,other,platinum,,,241279087.64641,244404607.19225064,1.0129539595674408,0.6859770494803926,4.4,0.3140229505196074,0.0140145979017356,6.6,-0.0001730466433925,0.1749631153065251,0.9171439677280916,0.037562486050508,,0.0279753359890435,0.0543589403055588,8.068156550582879,0.0453284579896454,0.2268835855128447,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0005794359032895,0.0003399361866818,0.5866674549367542,400.0,4.054053261967809,2.652508293451902,0.6542855068866049,400.0,-0.0198735340899924,0.0001527646435744,0.0200262987335669,0.1422061314494333,1.0,"2,True,The solver successfully reached the end of the integration interval.",5.501,default
M14,random,4,125973,246131,3.000000106112566e-07,1.9999999494757503e-05,-2.259999990463257,,paclitaxel,mitoxantrone,antimitotic,dna_intercalator,,,241279087.64641,244612518.4742916,1.0138156640942155,0.3097023072962838,4.800000000000001,0.6902976927037161,0.0554622298894562,9.6,-0.0005423373009881,0.5201117966119494,0.7773380425641384,0.1093900776034094,,0.0406263934031775,0.2321981950074334,6.389355764202847,0.4013979341451855,0.6638385245021352,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,12.074200839692525,5.772418038597113,0.4780786832384768,400.0,2.6714752421683974,0.8627607855569536,0.3229529407342226,243.51543006875457,-0.0731586179233103,0.0008787421096649,0.0740373600329753,0.1436750428626094,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.563,default
MOLT-4,act_hamming+zero,3,63878,105014,9.99999993922529e-09,1.0000000116860974e-07,-99.70999908447266,,cytarabine,cladribine,antimetabolite,antimetabolite,,,241279087.64641,244661329.7494979,1.014017966231887,0.081265106162294,4.4,0.918734893837706,0.1312371840586741,12.4,-0.0006289900727396,1.1013685941583988,0.6226824397211109,0.2057333816525463,,0.0400059425756974,0.9556357252687188,3.187239842343794,0.8423616563776075,0.8868774487704176,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,2.0400557742805585,1.3461721577956396,0.6598702715715592,400.0,3.277220739628644,2.165995732710537,0.6609245774991571,400.0,-0.1487601301309025,0.0030728798471155,0.151833009978018,0.1457807119878809,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.648,default
