cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,regret,drug1_name,drug2_name,drug1_moa,drug2_moa,burden_initial,burden_final,burden_ratio_final,nadir_burden,time_to_nadir,depth_of_response,kg_regrowth,time_to_regrowth,log_kill,log_kill_nadir,burden_auc_ratio,log_kill_auc,growth_delay,kg_biexp,ks_biexp,ttg_biexp,biexp_r2,ets_early,t_early,hypoxic_fraction,necrotic_fraction,viable_rim_thickness,auc_surface_drug1,auc_core_drug1,core_to_surface_ratio_drug1,penetration_depth_drug1,auc_surface_drug2,auc_core_drug2,core_to_surface_ratio_drug2,penetration_depth_drug2,kill_fraction_core,kill_fraction_rim,core_sparing,residual_core_burden,solver_success,n_drugs_simulated,sim_ok,sim_message,wall_s,has_fit_drug1,has_fit_drug2,setting
MDA-MB-231/ATCC,act_hamming+zero,8,740,24559,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,,NSC740,NSC24559,other,other,241279087.64641,244526370.85264963,1.0134586185562773,0.5551191953757303,4.4,0.4448808046242697,0.0239980859088241,7.6,-0.0003893605579345,0.2668864562124158,0.8761376668510292,0.0574276481055735,,0.0332313275283831,0.0827978526075988,7.867926792467951,0.0928461923617637,0.3544306596493041,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0018356311089325,0.0010675102494689,0.5815494432809682,400.0,2.464070125116591,1.4868841374663146,0.6034260641814976,400.0,-0.0296826273449659,0.000247886605222,0.0299305139501879,0.1427159539765593,1.0,2,True,The solver successfully reached the end of the integration interval.,4.466,True,True,default
MDA-MB-231/ATCC,hamming+zero,2,740,24559,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,,NSC740,NSC24559,other,other,241279087.64641,244526370.85264963,1.0134586185562773,0.5551191953757303,4.4,0.4448808046242697,0.0239980859088241,7.6,-0.0003893605579345,0.2668864562124158,0.8761376668510292,0.0574276481055735,,0.0332313275283831,0.0827978526075988,7.867926792467951,0.0928461923617637,0.3544306596493041,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0018356311089325,0.0010675102494689,0.5815494432809682,400.0,2.464070125116591,1.4868841374663146,0.6034260641814976,400.0,-0.0296826273449659,0.000247886605222,0.0299305139501879,0.1427159539765593,1.0,2,True,The solver successfully reached the end of the integration interval.,4.671,True,True,default
MDA-MB-231/ATCC,hamming+zero,6,740,24559,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,,NSC740,NSC24559,other,other,241279087.64641,244526370.85264963,1.0134586185562773,0.5551191953757303,4.4,0.4448808046242697,0.0239980859088241,7.6,-0.0003893605579345,0.2668864562124158,0.8761376668510292,0.0574276481055735,,0.0332313275283831,0.0827978526075988,7.867926792467951,0.0928461923617637,0.3544306596493041,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0018356311089325,0.0010675102494689,0.5815494432809682,400.0,2.464070125116591,1.4868841374663146,0.6034260641814976,400.0,-0.0296826273449659,0.000247886605222,0.0299305139501879,0.1427159539765593,1.0,2,True,The solver successfully reached the end of the integration interval.,4.681,True,True,default
MDA-MB-231/ATCC,hamming+zero,7,82151,713563,1.999999987845058e-08,9.999999747378752e-05,-54.54100036621094,,daunorubicin,arsenic trioxide,dna_intercalator,other,241279087.64641,244515423.7123389,1.0134132472793154,0.5717475918781991,4.4,0.4282524081218009,0.0226676926186662,7.4,-0.0003699173010055,0.2540683571073475,0.8814573148057406,0.0547987138730824,,0.0326591032055151,0.0788049660831054,7.902568004109691,0.0860676970099332,0.3389580696718142,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.1181595423028795,0.0274791161043434,0.2325594325163001,145.36768246977357,2.404551954742679,1.4489549301983955,0.602588323093004,400.0,-0.0278832025639528,0.000229881055163,0.0281130836191159,0.1426583356628345,1.0,2,True,The solver successfully reached the end of the integration interval.,4.131,True,True,default
MDA-MB-231/ATCC,hamming+zero,8,740,24559,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,,NSC740,NSC24559,other,other,241279087.64641,244526370.85264963,1.0134586185562773,0.5551191953757303,4.4,0.4448808046242697,0.0239980859088241,7.6,-0.0003893605579345,0.2668864562124158,0.8761376668510292,0.0574276481055735,,0.0332313275283831,0.0827978526075988,7.867926792467951,0.0928461923617637,0.3544306596493041,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0018356311089325,0.0010675102494689,0.5815494432809682,400.0,2.464070125116591,1.4868841374663146,0.6034260641814976,400.0,-0.0296826273449659,0.000247886605222,0.0299305139501879,0.1427159539765593,1.0,2,True,The solver successfully reached the end of the integration interval.,4.231,True,True,default
MDA-MB-231/ATCC,ours+zero,2,681239,754143,3.000000106112566e-07,9.99999993922529e-09,-93.95999908447266,,bortezomib,bendamustine,proteasome,alkylator,241279087.64641,143755280.06281623,0.5958049720143459,0.0003922147557072,4.6000000000000005,0.9996077852442928,0.4837067038926211,,0.2303125366655555,3.4176466802372385,0.1040193070044195,0.9828860439005358,,0.0107083348081377,3.1848292379928016,1.7822139249202855,0.6084012090754989,0.9995375049394636,5.25,0.0,0.0,400.0,3.2756952361042613,2.1226173869257434,0.6479898873163007,400.0,16.469569332401257,10.98224670889338,0.6668205152934726,400.0,0.9167883977129108,0.3247790618197815,-0.5920093358931292,0.0,1.0,2,True,The solver successfully reached the end of the integration interval.,5.868,True,True,default
MDA-MB-231/ATCC,ours+zero,6,613327,754143,9.99999993922529e-09,9.99999993922529e-09,-90.0999984741211,,gemcitabine,bendamustine,antimetabolite,alkylator,241279087.64641,233950144.13110936,0.969624621898268,0.0097654487556989,4.4,0.990234551244301,0.281595758286991,,0.0188130246624244,2.021580495805584,0.373240780312285,0.4280109112893473,,0.0311467703721847,2.0765882969077154,1.992551668071766,0.8451938068455658,0.9855708423628988,5.25,0.178342803429609,0.023430512056881,176.1006289308176,6.90651974161988,4.595619082756085,0.6654030184062302,400.0,16.469569332401257,10.977123357159051,0.666509435408448,400.0,0.0914884434654006,0.021890042387814,-0.0695984010775866,0.1019250084844541,1.0,2,True,The solver successfully reached the end of the integration interval.,3.804,True,True,default
MDA-MB-231/ATCC,ours+zero,7,82151,713563,1.999999987845058e-08,9.999999747378752e-05,-54.54100036621094,,daunorubicin,arsenic trioxide,dna_intercalator,other,241279087.64641,244515423.7123389,1.0134132472793154,0.5717475918781991,4.4,0.4282524081218009,0.0226676926186662,7.4,-0.0003699173010055,0.2540683571073475,0.8814573148057406,0.0547987138730824,,0.0326591032055151,0.0788049660831054,7.902568004109691,0.0860676970099332,0.3389580696718142,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.1181595423028795,0.0274791161043434,0.2325594325163001,145.36768246977357,2.404551954742679,1.4489549301983955,0.602588323093004,400.0,-0.0278832025639528,0.000229881055163,0.0281130836191159,0.1426583356628345,1.0,2,True,The solver successfully reached the end of the integration interval.,3.87,True,True,default
MDA-MB-231/ATCC,random,6,125973,737754,5.99999978589949e-08,9.999999747378752e-06,25.70599937438965,,paclitaxel,ixabepilone,antimitotic,antimitotic,241279087.64641,244447914.88043433,1.0131334516593835,0.7796462970568993,4.6000000000000005,0.2203537029431007,0.0113161883494846,6.2,-0.0002499953721077,0.1192729881438243,0.9351911790961912,0.0290995981763235,,0.0256253771557783,0.0456291677106233,8.097223837022062,0.1173952656123858,0.1947627308758864,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,6.251790332932513,2.382679644033056,0.3811195700984773,400.0,0.376363529046734,0.1127495532459501,0.2995761930799349,193.72021116178144,-0.0251704912278794,0.0001514612966179,0.0253219525244973,0.1423752605723719,1.0,2,True,The solver successfully reached the end of the integration interval.,1.654,True,True,default
MDA-MB-231/ATCC,random,2,246131,686673,1.9999999494757503e-05,2.0000000233721948e-07,-27.8799991607666,,mitoxantrone,NSC686673,dna_intercalator,other,241279087.64641,244363915.28291637,1.0127853087749863,0.8310004725638702,4.4,0.1689995274361297,0.0071450036715926,5.0,-0.0001007331824792,0.0916714304478647,0.9533199426680604,0.0207613217999341,,0.021284777154529,0.0326997920976313,7.953691144280878,0.0650548241459879,0.1202149593304381,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,2.3045305279580006,0.5487418394203677,0.2381143720003558,141.02039758926003,0.0031046155193241,0.0017773739521599,0.5724940628225862,400.0,-0.0056283533485015,5.434758740907597e-05,0.0056827009359106,0.1419241736234909,1.0,2,True,The solver successfully reached the end of the integration interval.,3.817,True,True,default
MDA-MB-231/ATCC,ours+zero,8,119875,713563,4.999999873689376e-06,9.999999747378752e-05,-42.95500183105469,,cisplatin,arsenic trioxide,platinum,other,241279087.64641,244515693.85563165,1.013414366909265,0.5708334407816711,4.4,0.4291665592183289,0.0227176756856011,7.4,-0.0003703971139956,0.2547632940093462,0.8812014105655279,0.0549248163325105,,0.0326846732220856,0.0789757351182974,7.90104934038762,0.08602400580129,0.3395014795760548,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.9406837398224496,0.6081280226866052,0.6464744705817781,400.0,2.404551954742679,1.4490552018884069,0.6026300238721506,400.0,-0.0279119854928575,0.0002300504647207,0.0281420359575783,0.1426594691717068,1.0,2,True,The solver successfully reached the end of the integration interval.,4.185,True,True,default
MDA-MB-231/ATCC,random,7,82151,713563,1.999999987845058e-08,9.999999747378752e-05,-54.54100036621094,,daunorubicin,arsenic trioxide,dna_intercalator,other,241279087.64641,244515423.7123389,1.0134132472793154,0.5717475918781991,4.4,0.4282524081218009,0.0226676926186662,7.4,-0.0003699173010055,0.2540683571073475,0.8814573148057406,0.0547987138730824,,0.0326591032055151,0.0788049660831054,7.902568004109691,0.0860676970099332,0.3389580696718142,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.1181595423028795,0.0274791161043434,0.2325594325163001,145.36768246977357,2.404551954742679,1.4489549301983955,0.602588323093004,400.0,-0.0278832025639528,0.000229881055163,0.0281130836191159,0.1426583356628345,1.0,2,True,The solver successfully reached the end of the integration interval.,3.838,True,True,default
MDA-MB-231/ATCC,random,8,24559,409962,9.999999974752427e-07,2.0000000233721948e-07,-40.54999923706055,,NSC24559,carmustine,other,alkylator,241279087.64641,244536777.65353143,1.0135017503543262,0.523623772560957,4.4,0.4763762274390429,0.0269576843422567,7.800000000000001,-0.0004078433089319,0.2922533458713195,0.8649225361032413,0.0630227869275408,,0.0343728113105808,0.0918278742361275,7.786407856674201,0.1113497734545356,0.3882781872339715,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,2.464070125116591,1.490877435707702,0.6050466748129415,400.0,7.600000280806509e-05,4.8488163088706135e-05,0.6380021223309822,400.0,-0.0332106671611742,0.0003007392444036,0.0335114064055779,0.1428059643740975,1.0,2,True,The solver successfully reached the end of the integration interval.,4.377,True,True,default
MDA-MB-231/ATCC,tanimoto+zero,2,49842,713563,4.999999858590343e-10,9.999999747378752e-05,-22.812000274658203,,vinblastine,arsenic trioxide,antimitotic,other,241279087.64641,244535319.61375943,1.013495707394755,0.4650126947787023,4.4,0.5349873052212977,0.0371663997741686,9.8,-0.0004052538394818,0.3438078919739116,0.8283579409939377,0.0817819600658348,,0.0372919544869082,0.1279478853022563,7.460945438631762,0.2387644651855235,0.47144451703247,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.000189999992406,6.0103531239110573e-05,0.3163343875859393,224.01277579724743,2.404551954742679,1.457089682461326,0.6059713867223365,400.0,-0.0609989549962775,0.0010949223038739,0.0620938773001514,0.1435150722100195,1.0,2,True,The solver successfully reached the end of the integration interval.,4.843,True,True,default
MDA-MB-231/ATCC,tanimoto+zero,6,38721,713563,1.9999999494757503e-05,9.999999747378752e-05,-10.20400047302246,,mitotane,arsenic trioxide,other,other,241279087.64641,244532033.2794131,1.0134820869257024,0.5465373257846964,4.4,0.4534626742153036,0.0249863410742796,7.6,-0.0003994172737659,0.2736528737471196,0.8722159774646389,0.0593759620776662,,0.0336360726264372,0.0858549616924066,7.842097147806257,0.0999498083008544,0.3646381387286632,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,1.1110288055148971,0.6592359219308489,0.593356282626112,400.0,2.404551954742679,1.4497518734904664,0.6029197541899695,400.0,-0.0301758405407388,0.0002636066592449,0.0304394471999838,0.142747077838606,1.0,2,True,The solver successfully reached the end of the integration interval.,2.944,True,True,default
MDA-MB-435,no_treatment,-1,-1,-1,0.0,0.0,,,,,,,241279087.64641,244307242.44601148,1.012550423781605,1.0,0.0,0.0,-0.0005289501584925,0.0,0.0,0.0,1.0,0.0,,0.001098475822591,6.230461558811701e-22,0.0,-4.4497688561597695,-0.0250950517930392,5.25,0.2033398275045627,0.0578624312878497,166.03773584905662,,,,,,,,,0.0,0.0,0.0,0.1416738683806418,1.0,0,True,The solver successfully reached the end of the integration interval.,0.154,,,default
MDA-MB-435,act_hamming+zero,0,740,24559,1.0000000116860974e-07,9.999999974752427e-07,-92.08999633789062,,NSC740,NSC24559,other,other,241279087.64641,244640610.33763823,1.0139320930131934,0.165105954937353,4.6000000000000005,0.834894045062647,0.1096106261469583,12.2,-0.000592209812916,0.7934078712815656,0.6507552287514017,0.1865823336931668,,0.0401593555712973,0.7000868609733615,3.861348996917582,0.8273017409835723,0.8265296473189183,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,73.75906315777168,48.38115716088716,0.6559350822745563,400.0,2.539011248752824,1.5902119445265397,0.6263115003163772,400.0,-0.1393114306330429,0.0029575180807066,0.1422689487137496,0.1455782462653048,1.0,2,True,The solver successfully reached the end of the integration interval.,1.791,True,True,default
MDA-MB-231/ATCC,tanimoto+zero,7,82151,713563,1.999999987845058e-08,9.999999747378752e-05,-54.54100036621094,,daunorubicin,arsenic trioxide,dna_intercalator,other,241279087.64641,244515423.7123389,1.0134132472793154,0.5717475918781991,4.4,0.4282524081218009,0.0226676926186662,7.4,-0.0003699173010055,0.2540683571073475,0.8814573148057406,0.0547987138730824,,0.0326591032055151,0.0788049660831054,7.902568004109691,0.0860676970099332,0.3389580696718142,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.1181595423028795,0.0274791161043434,0.2325594325163001,145.36768246977357,2.404551954742679,1.4489549301983955,0.602588323093004,400.0,-0.0278832025639528,0.000229881055163,0.0281130836191159,0.1426583356628345,1.0,2,True,The solver successfully reached the end of the integration interval.,3.902,True,True,default
MDA-MB-231/ATCC,tanimoto+zero,8,49842,713563,4.999999858590343e-10,9.999999747378752e-05,-22.812000274658203,,vinblastine,arsenic trioxide,antimitotic,other,241279087.64641,244535319.61375943,1.013495707394755,0.4650126947787023,4.4,0.5349873052212977,0.0371663997741686,9.8,-0.0004052538394818,0.3438078919739116,0.8283579409939377,0.0817819600658348,,0.0372919544869082,0.1279478853022563,7.460945438631762,0.2387644651855235,0.47144451703247,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.000189999992406,6.0103531239110573e-05,0.3163343875859393,224.01277579724743,2.404551954742679,1.457089682461326,0.6059713867223365,400.0,-0.0609989549962775,0.0010949223038739,0.0620938773001514,0.1435150722100195,1.0,2,True,The solver successfully reached the end of the integration interval.,4.821,True,True,default
MDA-MB-435,act_hamming+zero,1,740,24559,1.0000000116860974e-07,9.999999974752427e-07,-92.08999633789062,,NSC740,NSC24559,other,other,241279087.64641,244640610.33763823,1.0139320930131934,0.165105954937353,4.6000000000000005,0.834894045062647,0.1096106261469583,12.2,-0.000592209812916,0.7934078712815656,0.6507552287514017,0.1865823336931668,,0.0401593555712973,0.7000868609733615,3.861348996917582,0.8273017409835723,0.8265296473189183,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,73.75906315777168,48.38115716088716,0.6559350822745563,400.0,2.539011248752824,1.5902119445265397,0.6263115003163772,400.0,-0.1393114306330429,0.0029575180807066,0.1422689487137496,0.1455782462653048,1.0,2,True,The solver successfully reached the end of the integration interval.,1.794,True,True,default
MDA-MB-435,act_hamming+zero,4,740,24559,1.0000000116860974e-07,9.999999974752427e-07,-92.08999633789062,,NSC740,NSC24559,other,other,241279087.64641,244640610.33763823,1.0139320930131934,0.165105954937353,4.6000000000000005,0.834894045062647,0.1096106261469583,12.2,-0.000592209812916,0.7934078712815656,0.6507552287514017,0.1865823336931668,,0.0401593555712973,0.7000868609733615,3.861348996917582,0.8273017409835723,0.8265296473189183,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,73.75906315777168,48.38115716088716,0.6559350822745563,400.0,2.539011248752824,1.5902119445265397,0.6263115003163772,400.0,-0.1393114306330429,0.0029575180807066,0.1422689487137496,0.1455782462653048,1.0,2,True,The solver successfully reached the end of the integration interval.,1.82,True,True,default
MDA-MB-435,hamming+zero,0,740,24559,1.0000000116860974e-07,9.999999974752427e-07,-92.08999633789062,,NSC740,NSC24559,other,other,241279087.64641,244640610.33763823,1.0139320930131934,0.165105954937353,4.6000000000000005,0.834894045062647,0.1096106261469583,12.2,-0.000592209812916,0.7934078712815656,0.6507552287514017,0.1865823336931668,,0.0401593555712973,0.7000868609733615,3.861348996917582,0.8273017409835723,0.8265296473189183,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,73.75906315777168,48.38115716088716,0.6559350822745563,400.0,2.539011248752824,1.5902119445265397,0.6263115003163772,400.0,-0.1393114306330429,0.0029575180807066,0.1422689487137496,0.1455782462653048,1.0,2,True,The solver successfully reached the end of the integration interval.,1.758,True,True,default
MDA-MB-435,hamming+zero,1,740,24559,1.0000000116860974e-07,9.999999974752427e-07,-92.08999633789062,,NSC740,NSC24559,other,other,241279087.64641,244640610.33763823,1.0139320930131934,0.165105954937353,4.6000000000000005,0.834894045062647,0.1096106261469583,12.2,-0.000592209812916,0.7934078712815656,0.6507552287514017,0.1865823336931668,,0.0401593555712973,0.7000868609733615,3.861348996917582,0.8273017409835723,0.8265296473189183,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,73.75906315777168,48.38115716088716,0.6559350822745563,400.0,2.539011248752824,1.5902119445265397,0.6263115003163772,400.0,-0.1393114306330429,0.0029575180807066,0.1422689487137496,0.1455782462653048,1.0,2,True,The solver successfully reached the end of the integration interval.,1.754,True,True,default
MDA-MB-435,hamming+zero,4,740,24559,1.0000000116860974e-07,9.999999974752427e-07,-92.08999633789062,,NSC740,NSC24559,other,other,241279087.64641,244640610.33763823,1.0139320930131934,0.165105954937353,4.6000000000000005,0.834894045062647,0.1096106261469583,12.2,-0.000592209812916,0.7934078712815656,0.6507552287514017,0.1865823336931668,,0.0401593555712973,0.7000868609733615,3.861348996917582,0.8273017409835723,0.8265296473189183,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,73.75906315777168,48.38115716088716,0.6559350822745563,400.0,2.539011248752824,1.5902119445265397,0.6263115003163772,400.0,-0.1393114306330429,0.0029575180807066,0.1422689487137496,0.1455782462653048,1.0,2,True,The solver successfully reached the end of the integration interval.,1.8,True,True,default
MDA-MB-435,ours+zero,0,740,24559,1.0000000116860974e-07,9.999999974752427e-07,-92.08999633789062,,NSC740,NSC24559,other,other,241279087.64641,244640610.33763823,1.0139320930131934,0.165105954937353,4.6000000000000005,0.834894045062647,0.1096106261469583,12.2,-0.000592209812916,0.7934078712815656,0.6507552287514017,0.1865823336931668,,0.0401593555712973,0.7000868609733615,3.861348996917582,0.8273017409835723,0.8265296473189183,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,73.75906315777168,48.38115716088716,0.6559350822745563,400.0,2.539011248752824,1.5902119445265397,0.6263115003163772,400.0,-0.1393114306330429,0.0029575180807066,0.1422689487137496,0.1455782462653048,1.0,2,True,The solver successfully reached the end of the integration interval.,1.758,True,True,default
